Date,Supply,MarketCap,Price,Addresses,Transactions,GasPriceHistory,GasConsumed,BlockSize,BlockRewards,BlockDifficulty
7/30/15,72049306.59,0,0,9205,8893,0,0,644,39316.09375,0.121
7/31/15,72085498.31,0,0,9361,0,0,0,582,36191.71875,0.603
8/1/15,72113204.25,0,0,9476,0,0,0,575,27705.9375,0.887
8/2/15,72141427.69,0,0,9563,0,0,0,581,28223.4375,1.02
8/3/15,72169404.41,0,0,9639,0,0,0,587,27976.71875,1.126
8/4/15,72197882.84,0,0,9696,0,0,0,587,28478.4375,1.217
8/5/15,72225411.44,0,0,9749,0,0,0,579,27528.59375,1.328
8/6/15,72252486.91,0,0,9790,0,0,0,584,27075.46875,1.381
8/7/15,72279924.56,216.8397737,3,10314,2050,6.04684E+11,49353826,633,27437.65625,1.471
8/8/15,72307868,86.7694416,1.2,10730,2881,3.22714E+11,376006093,668,27943.4375,1.586
8/9/15,72335046.28,86.80205554,1.2,11004,1329,4.75467E+11,38863003,618,27178.28125,1.709
8/10/15,72362863.63,0,0,11679,2037,4.21655E+11,74070061,631,27817.34375,1.838
8/11/15,72390891.44,71.66698252,0.99,13576,4963,77838819162,163481740,692,28027.8125,2.036
8/12/15,72418262.38,93.41955846,1.29,13913,2036,4.44902E+11,70102332,653,27370.9375,2.207
8/13/15,72446530.5,136.1994773,1.88,14459,2842,2.68683E+11,88234087,666,28268.125,2.337
8/14/15,72477637.22,129.7349706,1.79,15024,3174,1.93455E+11,78746522,660,31106.71875,2.671
8/15/15,72506149.88,129.7860083,1.79,15407,2284,1.44369E+11,59565914,638,28512.65625,3.378
8/17/15,72534268.78,94.29454942,1.3,15693,2512,1.3215E+11,60515132,635,28118.90625,3.908
8/16/15,72561363.31,99.40906774,1.37,15984,2440,1.2094E+11,58241191,641,27094.53125,3.632
8/18/15,72587526.13,98.71903553,1.36,16268,2494,1.46513E+11,66816413,648,26162.8125,4.378
8/19/15,72614808.16,90.04236211,1.24,16553,3246,1.94583E+11,91746712,653,27282.03125,4.42
8/20/15,72635865.19,110.4065151,1.52,16773,2303,99011782801,63112713,650,21057.03125,4.469
8/21/15,72662556.13,104.6340808,1.44,17070,3919,79543407701,106379973,668,26690.9375,4.415
8/22/15,72690106.59,101.7661492,1.4,17313,3579,5.52841E+11,90744195,648,27550.46875,4.828
8/23/15,72716362.22,98.167089,1.35,17662,4190,73439482806,117802449,681,26255.625,5.138
8/24/15,72743695.5,90.20218242,1.24,17839,4432,92409814705,97648912,673,27333.28125,5.179
8/25/15,72770431.59,92.41844812,1.27,18089,4487,76432335617,114480057,680,26736.09375,5.173
8/26/15,72796569.56,85.89995208,1.18,18298,4156,60481160549,99511209,669,26137.96875,5.587
8/27/15,72821102.38,83.01605671,1.14,18508,5590,59307091958,147888097,708,24532.8125,5.925
8/28/15,72845327.53,94.69892579,1.3,18687,4758,92879907335,111903559,691,24225.15625,6.251
8/29/15,72867852.53,85.98406599,1.18,18815,4139,56211090684,99107570,682,22525,6.658
8/30/15,72889306.13,96.21388409,1.32,19017,4572,55155494457,102643603,689,21453.59375,6.781
8/31/15,72910599.56,95.51288543,1.31,19168,5196,58423521569,129040364,731,21293.4375,7.214
9/1/15,72930942.53,99.18608184,1.36,19349,5153,56671549652,140186844,741,20342.96875,7.641
